N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
9;L’abusivo esercizio di una professione per la quale è richiesta una speciale abilitazione dello Stato,  con riferimento al codice penale, costituisce:;un delitto.;una contravvenzione penale.;un delitto o un illecito amministrativo, a seconda del tipo di professione.;una contravvenzione penale o un illecito amministrativo, a seconda del tipo di illecito.
10;L’incaricato di pubblico servizio, secondo le previsioni del codice penale, che omette di denunciare all’Autorità Giudiziaria un reato perseguibile d’ufficio del quale abbia avuto notizia è punito con:;la multa, ma solo se ha ricevuto la notizia di reato nell’esercizio o a causa del servizio.;l’arresto o l’ammenda, ma solo se ha ricevuto la notizia di reato nell’esercizio o a causa del servizio.;la reclusione, ma solo se ha ricevuto la notizia di reato nell’esercizio o a causa del servizio.;la reclusione, in ogni caso, anche se non ha ricevuto la notizia nell’esercizio o a causa del suo servizio.
11;Il fenomeno in base al quale il trascorrere di un periodo di tempo comporta, a norma  del codice penale, l'estinzione del reato viene denominato:;prescrizione.;perenzione.;decadenza.;decorrenza.
12;In materia di codice penale, il divieto di soggiorno in uno o più comuni o uno o più province costituisce:;una misura di sicurezza.;una misura di sicurezza patrimoniale.;una pena accessoria.;una sanzione sostitutiva.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
13;Chiunque ponga in essere un indebito esercizio di una funzione pubblica o di attribuzioni inerenti ad un pubblico impiego compie, nell'ambito del codice penale, il reato  di:;usurpazione di funzioni pubbliche.;traffico di influenze illecite.;interruzione di un ufficio o servizio pubblico o di un servizio di pubblica necessità.;violenza o minaccia a pubblico impiegato.
14;Agli effetti di legge, si definisce un pubblico ufficiale colui che:;esercita una pubblica funzione legislativa, giudiziaria o amministrativa.;a qualunque titolo, presta un servizio pubblico.;espleta una funzione amministrativa dichiarata di pubblica necessità mediante un atto della Pubblica Amministrazione.;esercita una professione dichiarata di pubblica necessità, il cui esercizio sia vietato senza una speciale abilitazione dello Stato.
15;Il delitto di resistenza a Pubblico Ufficiale, previsto dall'art. 337 c.p., è ipotizzabile anche nei confronti dell’incaricato di pubblico servizio?;Sì, è previsto nella stessa disposizione.;No, non è previsto dal codice penale.;Sì, ma la pena in questo caso è ridotta.;Sì, salvo che la legge disponga altrimenti.
16;Sono  reati della stessa indole, con riferimento al le norme  del codice penale, anche quelli che violano leggi diverse?;Sì, purché presentino, nei casi concreti, caratteri fondamentali comuni.;Sì, purché unificati dal vincolo della continuazione.;Sì, ma solo se offendano il medesimo bene giuridico.;Si, ma solo se prevedono la pene della stessa specie.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
17;Il delitto di violenza a Pubblico Ufficiale, ai sensi del codice penale, è compreso nei delitti:;dei privati contro la Pubblica Amministrazione.;contro la fede pubblica.;contro l’ordine pubblico.;contro l’attività giudiziaria.
18;Per l’interdetto a cagione dell’infermità di mente, con riferimento al vigente codice penale, il diritto di querela è esercitato:;dal genitore o tutore.;dal curatore speciale nominato dal Tribunale.;dall’interdetto direttamente o dal suo legale rappresentante.;dal genitore o dal curatore.
19;Il delitto di rivelazione di segreti d’ufficio, con riferimento all'art. 326 c.p.:;è un delitto proprio dei Pubblici Ufficiali e degli incaricati di pubblico servizio.;è un delitto proprio dei soli Pubblici Ufficiali.;non ammette il tentativo.;è stato abrogato.
20;Nell’esercizio del potere discrezionale circa la determinazione della pena da applicare, in materia di codice penale, il giudice deve  tener conto della gravità del reato desunta:;anche dalla natura, dalla specie, dai mezzi, dall’oggetto, dal tempo, dal luogo e da ogni altra modalità dell’azione.;anche della procedibilità del reato,  se d’ufficio o a querela.;anche dalla capacità a delinquere della persona offesa dal reato.;della natura del reato  e dalla capacità a delinquere del soggetto attivo e della persona offesa dal reato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
21;Il Giudice penale, nei limiti della discrezionalità riconosciutagli dalla legge ai sensi dell'art. 132 c.p., nell’aumentare o diminuire la pena:;non può oltrepassare i limiti fissati dalla legge per  ciascuna pena, salvo i casi espressamente determinati dalla legge.;può oltrepassare i limiti fissati dalla legge solo nel caso di concorso di reati.;può oltrepassare i limiti fissati dalla legge solo per le pene pecuniarie.;può sempre oltrepassare i limiti fissati dalla legge per ciascuna pena, indicando i motivi che giustificano l’uso di tale potere discrezionale.
22;La pena è prevista, secondo le norme  del codice penale, nell’ipotesi del reato  continuato è:;la pena che dovrebbe infliggersi per  il reato più grave aumentata sino al triplo.;la somma delle pene previste per i singoli reati, aumentata fino ad un terzo.;la somma delle pene previste per i singoli reati, ridotta fino ad un terzo.;la pena che dovrebbe infliggersi per il reato  più grave  aumentata sino a due terzi.
23;Qualora taluno istighi una persona a commettere un reato  e l’istigazione sia accolta ma il reato  non venga commesso, in conformità alle norme  del codice penale:;l’istigatore è punibile in ogni caso.;nessuna di esse è punibile per il solo fatto dell’istigazione.;sono entrambe punibili per l’accordo, salvo che la legge disponga altrimenti.;è sempre applicabile nei loro confronti una misura di sicurezza.
24;Il giudice, nel quantificare la pena da infliggere, in conformità alle norme  del codice penale, può aumentarla nei confronti di colui che,  dopo essere stato condannato per un reato,  anche se colposo, ne ha commesso un altro?;No, l'aumento di pena conseguente alla recidiva può essere applicato solo nelle ipotesi di delitti non colposi.;No, la pena può essere aumentata solo se il soggetto ha già riportato almeno due condanne passate in giudicato.;Sì, purché il nuovo reato  sia della stessa indole del precedente.;Sì, ma solo se il reato  è stato commesso entro i cinque anni dalla condanna precedente.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
25;I reati in cui la pena è aumentata per il verificarsi di un evento ulteriore addebitato al soggetto agente, in base all'art. 83 c.p., indipendentemente da ogni previsione o volontà si definiscono:;reati aberranti.;reati aggravati dall’evento.;reati complessi.;reati preterintenzionali.
26;Chi ha determinato a commettere un reato  una persona non imputabile, secondo il codice penale:;risponde del reato da questi commesso e la pena è aumentata.;risponde del reato  in concorso con l’autore materiale, ma con pena aumentata.;non è punibile, ma può essere sottoposto ad una misura di sicurezza.;risponde del reato  in concorso con l’autore materiale.
27;In base alle norme  del codice penale, è causa di estinzione della pena:;la grazia.;la morte del reo prima della sentenza.;l’oblazione.;la presenza di una causa di esclusione del reato.
28;Nel delitto di concussione, a norma  dell'art. 323bis c.p., qualora il fatto sia di particolare tenuità si configura una:;circostanza attenuante speciale.;circostanza attenuante comune.;circostanza attenuante prevista dal codice penale per tutti i delitti contro la pubblica amministrazione.;No, ma della particolare tenuità del fatto deve tenersi conto ai fini della determinazione in concreto della pena.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
29;In materia di codice penale, l’essere concorso a determinare l’evento, insieme alla condotta del colpevole, il fatto doloso della persona offesa costituisce:;una circostanza attenuante comune.;una circostanza attenuante speciale.;una circostanza attenuante ad effetto speciale.;una causa di estinzione del reato.
30;Se  la querela è stata già proposta, la morte della persona offesa estingue il reato?;No, mai.;No, tranne le eccezioni previste dalla legge.;Si, tranne le eccezioni previste dalla legge.;Gli eredi della persona offesa possono decidere se avvalersi nuovamente del diritto di proporre  querela.
31;Costituisce una deroga al principio di obbligatorietà della legge penale, prevista dall'art. 3 c.p.:;l’immunità personale prevista dal diritto internazionale dal diritto pubblico interno.;ciascuna causa di esclusione del reato.;il principio del “favor rei”.;l’estradizione.
32;L’amnistia, secondo la disposizione dell'art. 151 c.p., si applica anche ai delinquenti professionali?;Mai, salvo che il decreto disponga diversamente.;Dipende dalla tipologia del reato  commesso.;Sempre, salvo che il decreto disponga diversamente.;Mai, senza eccezioni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
33;Il Giudice può ordinare, con riferimento all'art. 163 c.p., la sospensione condizionale della pena nel pronunciare sentenza di condanna alla reclusione congiunta a multa:;quando la multa, congiunta alla pena detentiva e ragguagliata secondo i criteri stabiliti, sia equivalente alla reclusione non superiore, nel complesso, a due anni.;quando la multa, congiunta alla pena detentiva e ragguagliata secondo i criteri stabiliti, sia equivalente alla reclusione non superiore, nel complesso, a tre anni.;quando la multa, congiunta alla reclusione, sia equivalente alla reclusione non superiore, nel complesso, a cinque anni.;quando la reclusione sia, da sola, inferiore a due anni e la multa, ragguagliata secondo i criteri stabiliti, sia, da sola, equivalente alla pena della reclusione anch’essa inferiore a due anni.
34;Nei delitti punibili a querela della persona offesa, ai sensi dell'art. 152 c.p., la remissione della stessa estingue il reato?;Sì, sempre.;No, tranne le eccezioni previste dalla legge.;Non estingue il reato  ma fa cessare in ogni caso l’esecuzione della condanna.;Non estingue il reato  ma fa cessare l’esecuzione della condanna, tranne se non è intervenuta sentenza definitiva.
35;Il pubblico ufficiale, che si appropria di una cosa altrui sottoposta a sequestro nel corso di un procedimento penale ed affidata alla sua custodia, in base alle vigenti norme  penali commette il delitto di:;peculato.;distrazione aggravata dal mezzo fraudolento.;falsità materiale commessa dal pubblico ufficiale in atti pubblici.;malversazione aggravata con utilizzo del mezzo fraudolento.
36;Costituisce aggravante specifica del delitto di oltraggio, previsto dall'art. 343 c.p., ad un magistrato in udienza:;se l’offesa consiste nell’attribuzione di un fatto determinato o è commesso con violenza o minaccia.;esclusivamente se l’offesa consiste nell’attribuzione di un fatto determinato.;il reato  di oltraggio ad un magistrato in udienza è stato abrogato.;se il fatto è commesso nel corso di un’udienza penale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
37;Nel codice penale, l’oblazione nella contravvenzione comporta:;l’estinzione del reato.;la sospensione del processo.;l’esclusione della punibilità ma non l’estinzione del reato.;la riduzione della pena.
38;Il termine della prescrizione, previsto dall'art. 158 c.p., nei reati punibili a querela decorre:;dal giorno del commesso reato.;dal giorno di presentazione della querela.;dal giorno in cui l'ultimo dei soggetti offesi dal reato  ha avuto notizia del reato.;Dal giorno in cui sono scaduti i termini per la presentazione della querela
39;Ai sensi dell'art. 317 c.p., il reato di concussione è un delitto proprio:;del Pubblico Ufficiale  e dell'incaricato di pubblico servizio.;del Pubblico Ufficiale e anche dell’incaricato di pubblico servizio purché questi rivesta la qualità di pubblico impiegato.;del Pubblico Ufficiale, dell’incaricato di pubblico servizio e dell’esercente un servizio di pubblica necessità.;del Pubblico Ufficiale, dell’incaricato di pubblico servizio e, nelle sole ipotesi espressamente previste dalla legge, dell’esercente un servizio di pubblica necessità.
40;Quale, tra le seguenti previste dal codice penale, è una misura di sicurezza personale?;La libertà vigilata.;La sorveglianza speciale.;La semi libertà.;La libertà controllata.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
41;Se trattasi di condannato all’ergastolo, la pena, a seguito di liberazione condizionale, in conformità alle norme  del codice penale, si estingue:;decorsi 5 anni dalla data del provvedimento di liberazione condizionale.;decorsi 3 anni dalla data del provvedimento di liberazione condizionale.;decorsi 10 anni dalla data del provvedimento di liberazione condizionale.;decorsi 10 anni dalla data del provvedimento di liberazione condizionale, salvo che la legge disponga altrimenti.
42;In base all'art. 83 c.p., un reato  in cui l'evento verificatosi è diverso da quello voluto dall’agente si definisce:;aberrante.;aggravato dall’evento.;putativo.;complesso.
43;Per i minori degli anni 14, secondo le previsioni del codice penale, il diritto di querela è esercitato:;dal genitore o dal tutore.;dal genitore, da un prossimo congiunto o dal tutore.;dal genitore, dal tutore o, solo riguardo taluni reati indicati dalla legge, da un prossimo congiunto.;dal genitore, dal tutore o, solo riguardo a reati in materia sessuale, dal minore stesso.
44;Quando, nella commissione di un delitto, l'evento che si verifica va oltre l'intenzione dell'agente, si concretizza, secondo le norme del codice penale, l'ipotesi di:;delitto preterintenzionale.;delitto colposo senza previsione dell'evento.;delitto a colpa generica.;delitto aggravato dall'evento.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
45;Si concretizza il delitto di falsità materiale, previsto dal codice penale, quando il pubblico ufficiale, nell’esercizio delle sue funzioni:;forma, in tutto o in parte, un atto falso o altera un atto vero.;forma un atto in cui attesta falsamente fatti dei quali l’atto è destinato a provare la verità.;forma un atto in cui attesta falsamente che un fatto è stato da lui compiuto o è avvenuto alla sua presenza.;attesta falsamente, in certificati o autorizzazioni amministrative, fatti dei quali l’atto è destinato a provare la verità.
46;In base al codice penale, i provvedimenti che il Giudice predispone per la prevenzione dei reati nei confronti di persone socialmente pericolose che abbiano commesso un reato  si definiscono:;misure di sicurezza.;misure cautelari.;misure interdittive.;misure di prevenzione.
47;Secondo le norme  del codice penale gli incaricati di pubblico servizio possono invocare la legittima difesa e l’uso legittimo delle armi?;Possono invocare solo la legittima difesa e solo negli stessi casi previsti per  qualsiasi privato cittadino.;Sì, entrambe.;Possono invocare la legittima difesa, negli stessi casi previsti per qualsiasi privato cittadino, e l’uso legittimo delle armi solo quando hanno commesso il fatto nell’esercizio delle loro funzioni.;Possono invocare la legittima difesa, negli stessi casi previsti per qualsiasi privato cittadino, e l’uso legittimo delle armi solo quando rivestono anche la qualifica di pubblico impiegato.
48;Se  la pena prevista per il delitto consumato è l’ergastolo, nell'ambito del codice penale, il colpevole del delitto tentato è punito:;con la reclusione non inferiore a 12 anni.;con la reclusione non inferiore a 10 anni.;con la reclusione non inferiore a 18 anni.;con la reclusione non inferiore a 15 anni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
49;Con riferimento alle norme  del codice penale, è imputabile l’autore di un reato  che manchi parzialmente dell’udito e della parola?;Sì, se, al momento del fatto, la capacità di intendere o di volere era grandemente scemata, ma non esclusa, a causa dell’infermità.;No, poiché, in ogni caso, in considerazione delle condizioni fisiche, non potrà essere applicata la pena.;No, poiché tale menomazione rende la persona comunque incapace di intendere e di volere.;Sì e la pena non è diminuita.
50;Il Giudice con la sentenza di condanna, secondo quanto disposto dal codice penale, può disporre, in relazione alle condizioni economiche del condannato, che la pena pecuniaria:;venga pagata in rate mensili da sei a sessanta.;venga pagata in rate mensili da dieci a trenta.;venga pagata in rate bimestrali da tre a dieci.;venga pagata in rate mensili da dieci a sessanta.
51;Il delitto di indebita percezione di erogazioni a danno dello Stato, previsto dal codice penale, è:;compreso tra i delitti contro la Pubblica Amministrazione.;un delitto contro l'Amministrazione della giustizia.;un delitto contro la fede pubblica.;un delitto contro l’ordine pubblico.
52;Quando ritenga che,  per le condizioni economiche del reo, la misura minima della pena pecuniaria sia eccessivamente gravosa, il Giudice con riferimento al codice penale può diminuirla:;sino ad un terzo.;sino alla metà.;sino a un quarto.;sino ad un quinto.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
53;Nell’ipotesi di concorso di persone nel reato,  in base al codice penale, le circostanze soggettive ed oggettive che escludono la pena hanno effetto:;le oggettive per  tutti coloro che sono concorsi nel reato, le soggettive solo per  coloro cui si riferiscono.;entrambe per tutti coloro che sono concorsi nel reato,  salvo che la legge disponga altrimenti.;le soggettive per tutti coloro che sono concorsi nel reato, le oggettive solo per coloro cui si riferiscono.;le oggettive per tutti coloro che sono concorsi nel reato, le soggettive solo per coloro cui si riferiscono, salvo che la legge disponga altrimenti.
54;La violenza o minaccia a un pubblico ufficiale, ai sensi del codice penale, configura il delitto:;dei privati contro la Pubblica Amministrazione.;contro la fede pubblica.;dei pubblici ufficiali contro la Pubblica Amministrazione.;contro l'ordine pubblico.
55;Qual è la differenza principale tra il reato  di concussione e il reato di corruzione, previsti dal codice penale?;Nella concussione è presente solo la condotta illecita del P.U., mentre nella corruzione è presente un accordo tra il P.U. e il privato.;La concussione è un delitto, la corruzione una contravvenzione.;"Nella corruzione esiste il dolo eventuale; nella concussione esiste il dolo specifico.";"Nella corruzione si punisce a titolo di colpa cosciente; nella corruzione a titolo di dolo eventuale."
56;Quale ipotesi di reato,  secondo il codice penale, si configura a carico dell’Agente della Polizia Locale che accetta un grosso compenso in denaro spontaneamente donatogli da un privato, per aver rinvenuto e restituito allo stesso privato oggetti preziosi che a questi erano stati sottratti da ignoti?;Corruzione per  l’esercizio della funzione.;Concussione.;Induzione indebita a dare  o promettere utilità.;Peculato.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
57;Il delitto di “corruzione per l’esercizio della funzione” è un delitto:;proprio del Pubblico Ufficiale  e dell’incaricato di pubblico servizio.;proprio del Pubblico Ufficiale, dell’incaricato di pubblico servizio e dell’esercente un servizio di pubblica necessità.;proprio del solo Pubblico Ufficiale.;che può essere commesso da chiunque.
58;il Pubblico Ufficiale che,  avendo per ragione del suo ufficio, la disponibilità di una cosa mobile altrui, se ne appropria, risponde secondo il codice penale di:;peculato.;concussione.;corruzione impropria per l’esercizio della funzione.;Nessuna delle alternative proposte è corretta.
59;Il pubblico ufficiale o l'incaricato di un pubblico servizio che, abusando della sua qualità o dei suoi poteri, costringe taluno a dare  o a promettere indebitamente, a lui o ad un terzo, denaro od altra utilità, commette in conformità al codice penale il reato  di:;concussione.;peculato d'uso.;corruzione.;traffico di influenze illecite.
60;A differenza di quanto accade nel reato  di concussione, secondo quanto previsto dal Codice penale, nel reato  di corruzione il privato cittadino:;non subisce l’azione del soggetto pubblico, bensì si accorda con esso al fine di compiere, omettere o ritardare un atto conforme al suo ufficio ovvero contrario ad esso.;subisce l'azione del soggetto pubblico al fine di compiere, omettere o ritardare un atto conforme al suo ufficio ovvero contrario ad esso.;rappresenta sempre il soggetto passivo su cui si riverbera l'omettere o ritardare un atto conforme all'ufficio ovvero contrario ad esso.;non può essere mai punito.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
61;L'evento  del delitto di concussione, previsto e punti dal codice penale, è rappresentato:;dalla dazione o promessa indebita di denaro o altre utilità.;dall'uso della forza.;dall'usufrutto della cosa.;dal rifiuto.
62;A norma  del Codice Penale, se il Pubblico Ufficiale si appropria di denaro altrui, si rende responsabile del delitto di peculato?;Sì, ma nella sola ipotesi in cui la disponibilità del denaro altrui è dovuta a ragioni del suo ufficio.;Sì, a prescindere dal motivo per il quale ha la disponibilità del denaro.;Si rende responsabile di peculato se il denaro appartiene a privati, e di malversazione a danno dello Stato,  se il denaro appartiene alla Pubblica Amministrazione.;No, per concretizzarsi il delitto di peculato è necessario che il denaro appartenga alla Pubblica Amministrazione.
63;Nell’ipotesi di concorso di persone nel reato,  in base alle norme  del codice penale, le circostanze che aggravano la pena concernenti i motivi a delinquere, l’intensità del dolo e il grado  della colpa sono valutate:;soltanto riguardo alle persone cui si riferiscono.;riguardo a tutti i concorrenti.;soltanto riguardo alle persone cui si riferiscono, salvo che la legge disponga altrimenti.;soltanto riguardo alle persone cui si riferiscono, salvo i motivi a delinquere, che sono valutati riguardo a tutti i concorrenti.
64;A norma  del Codice Penale, l’indebita percezione di erogazioni a danno dello Stato integra:;un delitto o un illecito amministrativo.;in ogni caso, un delitto contro la Pubblica Amministrazione.;in ogni caso, un illecito amministrativo.;un delitto o una contravvenzione penale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
65;Quale, tra i seguenti inseriti nel codice penale, è un reato “proprio” del dipendente pubblico contro la Pubblica Amministrazione?;Concussione.;Resistenza a Pubblico Ufficiale.;Millantato credito.;Oltraggio a magistrato in udienza.
66;Il pubblico ufficiale, che,  per omettere o ritardare o per aver omesso o ritardato un atto del suo ufficio, ovvero per compiere o per aver compiuto un atto contrario ai doveri di ufficio, riceve, per sé o per un terzo, denaro od altra utilità, o ne accetta la promessa, è punito ai sensi dell'art. 319 c.p. con:;la reclusione.;l'arresto.;l'ammenda.;la reclusione o l'arresto.
67;Viene applicata, in ogni caso in conseguenza della condanna per concussione a carico del Pubblico Ufficiale, la misura di sicurezza, a norma  dell'art. 322 ter c.p.:;della confisca.;dell'interdizione dai pubblici uffici.;dell'estinzione del rapporto di lavoro.;della riparazione pecuniaria.
68;Può darsi luogo al riconoscimento di una sentenza penale straniera, ai sensi dell'art. 12 c.p., se questa è stata pronunciata dall’Autorità Giudiziaria di uno stato estero con il quale non esiste trattato  di estradizione?;Sì, qualora il Ministro della Giustizia ne faccia richiesta.;No, è necessario che si instauri un trattato.;Sì, salvo che il Ministro della Giustizia non vi si opponga.;Sì, ma solo per taluni reati espressamente previsti dalla legge.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
69;Quando una persona ha commesso, anche in tempi diversi più fatti per i quali siano applicabili più misure di sicurezza di specie diversa:;il giudice valuta complessivamente il pericolo che deriva dalla persona e, in relazione ad esso, applica una o più misure di sicurezza stabilite dalla legge;è ordinata una sola misura di sicurezza, ma la durata minima è aumentata di un terzo.;sono ordinate solo le misure di sicurezza personali detentive.;sono sempre ordinate congiuntamente tutte le misure di sicurezza applicabili.
70;Da chi, in base alle norme  del codice penale, può essere commesso il reato  di malversazione a danno dello Stato?;Solo da un soggetto estraneo alla Pubblica Amministrazione.;Da nessuno, perché questo reato  è stato recentemente abrogato dal c.d. “decreto sviluppo Italia”.;Solo da un pubblico ufficiale o da un incaricato di pubblico servizio.;Solo da un soggetto che ricopra incarichi di vertice in una Pubblica Amministrazione.
71;La condanna alla pena della reclusione, in conformità al codice penale, a carico del Pubblico Ufficiale per il delitto di concussione comporta anche l’applicazione di pene accessorie:;in ogni caso l’interdizione dai pubblici uffici e, solo qualora la pena della reclusione sia non inferiore ai due anni, anche l’estinzione del rapporto di lavoro.;in ogni caso l’interdizione perpetua dai pubblici uffici o, in alternativa, l’estinzione del rapporto  di lavoro.;a seconda dell’entità della pena detentiva, può comportare l’interdizione perpetua o temporanea dai pubblici uffici o, in alternativa, l’estinzione del rapporto  di lavoro.;in ogni caso l’estinzione del rapporto  di lavoro e, a seconda dell’entità della pena detentiva, l’interdizione dai pubblici uffici o l’incapacità di contrattare con la Pubblica Amministrazione.
72;A norma  del Codice Penale, quelle delle seguenti affermazioni è corretta, in relazione al delitto di “Induzione indebita a dare  o promettere utilità”?;Può essere commesso anche dall’incaricato di pubblico servizio.;Nelle ipotesi di particolare tenuità è punibile solo a querela di parte.;Può essere commesso anche dal Pubblico Ufficiale e dell’esercente un servizio di pubblica necessità.;È punibile sia a titolo di dolo che di colpa.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
73;Se concorrono più circostanze attenuanti e per il delitto la legge stabilisce la pena dell'ergastolo, la pena da applicare per effetto delle diminuzioni, in conformità all'art. 67 c.p., non può comunque essere inferiore a:;10 anni di reclusione.;15 anni di reclusione.;20 anni di reclusione.;24 anni di reclusione.
74;Non rientra, ai sensi del codice penale, tra gli illeciti penali contro la pubblica amministrazione:;l'agevolazione colposa.;la vendita di stampati dei quali è stato ordinato il sequestro.;l’offesa all’autorità mediante danneggiamento di affissioni.;la frode nelle pubbliche forniture.
75;Chiunque, senza essere concorso nell’alterazione, fa uso di segni distintivi alterati delle opere dell’ingegno secondo l'art. 473 c.p.:;commette un delitto.;commette un illecito amministrativo, salvo che la legge disponga altrimenti.;commette una contravvenzione penale.;commette un illecito amministrativo.
76;L’uso e la detenzione di misure con falsa impronta da parte  di chi esercita un’attività commerciale, in base all'art. 472 c.p.:;costituiscono entrambe delitto.;costituiscono entrambe illeciti amministrativi.;l’uso costituisce delitto, la detenzione costituisce illecito amministrativo.;Costituiscono entrambe contravvenzioni penali.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
77;Il delitto di corruzione per un atto contrario ai doveri d'ufficio, in conformità all'art. 319 c.p., è punito con:;la reclusione da sei a dieci anni.;l'arresto da tre a sei anni.;la reclusione da due a dieci anni.;l'arresto da due a dieci anni.
78;Secondo le disposizioni del codice penale, la vendita di stampati dei quali l’Autorità ha ordinato il sequestro:;è punita con una sanzione amministrativa pecuniaria.;è punita con l’arresto e l’ammenda.;è punita con la sola ammenda.;è punita con la sola multa.
79;Se chi ha determinato altri a commettere un delitto per il quale è previsto l’arresto in flagranza ne è il genitore esercente la potestà, ai sensi dell'art. 111 c.p., la pena è aumentata:;da un terzo a due terzi.;fino alla metà,  salvo che la legge disponga altrimenti.;dalla metà  a due terzi.;da un terzo alla metà.
80;Quando la persona in stato di libertà vigilata trasgredisce agli obblighi imposti, in base all'art. 231 c.p., il Giudice:;può aggiungere alla libertà vigilata la cauzione di buona condotta.;deve  sostituire la libertà vigilata con una qualsiasi misura di sicurezza detentiva.;p soltanto aumentare la durata della libertà vigilata.;può aggiungere alla libertà vigilata il divieto di soggiorno in uno o più comuni o province.
