13;L'annullamento d'ufficio dell'atto amministrativo ricorre:;quando viene ritirato, con efficacia retroattiva, un atto amministrativo illegittimo per la presenza di vizi di legittimità originari dell'atto.;quando si differisce il termine di efficacia di un precedente provvedimento.;quando, per sopraggiunte cause di interesse pubblico, non si riconosce al concessionario il diritto di insistenza.;quando viene ritirato un atto amministrativo non ancora efficace.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
14;La revoca dell'atto amministrativo ricorre:;quando viene ritirato, con efficacia non retroattiva, un atto amministrativo inficiato da vizi di merito in base ad una nuova valutazione degli interessi.;"quando con provvedimento ""ad hoc"" si preclude ad un determinato atto amministrativo di produrre i suoi effetti per un determinato lasso di tempo.";quando viene ritirato un atto amministrativo non ancora efficace.;quando viene ritirato, con efficacia retroattiva, un atto amministrativo per il sopravvenire di nuove circostanze di fatto che rendono l'atto non più rispondente al pubblico interesse.;
15;La proroga dell'atto amministrativo ricorre:;quando la P.A. differisce ad un momento successivo, rispetto a quello previsto dall'atto, il termine di scadenza dell'atto stesso.;quando, per sopraggiunte cause di interesse pubblico, non si riconosce al concessionario il diritto di insistenza.;quando viene modificato parzialmente un precedente atto amministrativo.;"quando con provvedimento ""ad hoc"" si preclude ad un determinato atto amministrativo di produrre i suoi effetti per un determinato lasso di tempo.";
16;L'eccesso di potere è:;un vizio di legittimità dell'atto amministrativo configurabile solo con riferimento agli atti discrezionali.;un vizio di legittimità dell'atto amministrativo configurabile solo con riferimento agli atti vincolati.;un vizio di legittimità dell'atto amministrativo configurabile con riferimento sia agli atti discrezionali sia a quelli vincolati.;un vizio di merito dell'atto amministrativo.;
17;È annullabile l'atto amministrativo:;viziato da difetto assoluto di attribuzione.;viziato da eccesso di potere.;viziato da incompetenza.;adottato in violazione di legge.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
18;I controlli amministrativi diretti a valutare e garantire la corrispondenza formale dell’atto e dell’attività del soggetto alle norme di legge sono denominati:;controlli di legittimità.;controlli di merito.;controlli sostitutivi.;controlli di conformità.;
19;Un ricorso amministrativo presentato fuori termine è dichiarato:;irricevibile.;inammissibile.;nullo.;illegittimo.;
20;L'efficacia dei provvedimenti amministrativi:;è intesa come l'idoneità dello stesso a produrre effetti.;è l'idoneità del provvedimento a divenire definitivo decorso un breve termine di decadenza per l'impugnazione.;consiste nella sua idoneità a modificare situazioni giuridiche altrui, senza necessità di alcun consenso.;consiste nella sua idoneità a modificare interessi legittimi.;
21;Che cos’è una delibera?;Un atto avente valore giuridico.;Un atto normativo.;Un atto senza nessun valore giuridico.;Un atto emesso solo dal Consiglio comunale;
22;I Tribunali Amministrativi Regionali sono:;organi di giustizia amministrativa di primo grado.;organi di giustizia amministrativa di secondo grado.;organi di giurisdizione ordinaria.;organi decentrati dell’amministrazione statale.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
23;La protrazione degli effetti di un provvedimento amministrativo si definisce:;proroga.;sanatoria.;rinnovazione.;estensione.;
24;L’atto amministrativo è annullabile:;quando presenta vizi di legittimità che incidono sugli elementi essenziali.;quando è illecito.;quando è ineseguibile.;quando è imperfetto.;
25;L’autorizzazione è un provvedimento amministrativo con il quale:;si rimuove un limite legale all’esercizio di un diritto preesistente.;si attribuisce un diritto ex novo.;si riconcede un diritto soppresso.;si manifesta un giudizio tecnico.;
26;Il provvedimento amministrativo con il quale la pubblica amministrazione conferisce ad un soggetto nuovi diritti si definisce:;Concessione.;Autorizzazione.;Ammissione.;Licenza.;
27;L’efficacia di un provvedimento amministrativo può essere sospesa?;Sì, ma solo per gravi ragioni e per il tempo strettamente necessario.;Sì, ma solo nei casi tassativamente indicati dalla legge.;Sì, in applicazione del principio di trasparenza, ogni qualvolta i destinatari del provvedimento lo richiedano.;No, assolutamente.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
28;Quale dei seguenti non rientra fra i vizi di legittimità dell’atto amministrativo?;L’inopportunità.;L’incompetenza.;L’eccesso di potere.;La violazione di legge.;
29;Quali sono gli elementi accidentali dell’atto amministrativo?;Termine, condizione, onere e riserva.;Intestazione e preambolo.;Intestazione, preambolo e dispositivo.;Luogo, data e sottoscrizione.;
30;Esiste un obbligo generale di motivazione per gli atti amministrativi?;Sì e tale obbligo esiste per tutti gli atti amministrativi, con esclusione di quelli normativi e a contenuto generale.;Sì, ma tale obbligo esiste solo per i provvedimenti a carattere negativo.;No, in quanto la pubblica amministrazione non è tenuta a motivare i suoi atti.;Sì e tale obbligo esiste per tutti gli atti amministrativi comunque provenienti dalla pubblica amministrazione.;
31;L’interesse legittimo è correlato:;all’esercizio del potere amministrativo.;alla lesione della sfera giuridica di un soggetto da parte di una disposizione legislativa.;alla lesione della sfera giuridica di un soggetto da parte di un provvedimento giurisdizionale di rigetto.;all’adempimento di un obbligo imposto ad un altro soggetto.;
32;Gli atti di alta amministrazione sono riconducibili:;agli atti amministrativi.;agli atti politici.;agli atti amministrativi legificati.;alle sentenze della Corte Costituzionale.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
33;In relazione al rapporto tra motivazione e invalidità del provvedimento amministrativo, quale tra le seguenti affermazioni può essere definita corretta?;La mancata comunicazione di provvedimento negativo nei casi indicati nell'art. 10-bis della l. n. 241/1990 costituisce vizio di eccesso di potere.;La motivazione illogica costituisce vizio di eccesso di potere.;La motivazione illogica costituisce vizio di violazione di legge.;La motivazione contradditoria costituisce vizio di violazione di legge.;
34;Quale tra i seguenti vizi della motivazione di un provvedimento amministrativo costituisce vizio di violazione di legge?;La mancata indicazione specifica degli atti ai quali il provvedimento rinvia nel caso di motivazione per relationem.;La motivazione contradditoria.;La motivazione illogica.;La motivazione irrazionale.;
35;Come si definisce un atto amministrativo emanato in difformità delle norme giuridiche che lo disciplinano?;Illegittimo.;Inesistente.;Ineseguibile.;Irregolare.;
36;Quali tra i seguenti elementi non è un requisito di legittimità del soggetto che pone in essere un atto amministrativo?;La volontà.;La compatibilità.;La competenza.;La legittimazione.;
37;Cosa succede quando un ricorso amministrativo viene ritenuto infondato?;Il ricorso è rigettato.;Il ricorso è dichiarato irricevibile.;Il ricorso viene dichiarato inammissibile.;Il ricorso viene dichiarato nullo.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
38;I vizi di forma dell'atto amministrativo:;costituiscono vizio di legittimità dell'atto amministrativo per violazione di legge.;costituiscono vizio di legittimità dell'atto amministrativo per incompetenza.;costituiscono vizio di legittimità dell'atto amministrativo per eccesso di potere.;non costituiscono vizio di legittimità dell'atto amministrativo.;
39;Quali sono le fondamentali tipologie di ricorso amministrativo?;Il ricorso in opposizione, il ricorso gerarchico, il ricorso straordinario al Capo dello Stato.;L'azione civile di risarcimento avanti al giudice competente.;L'esposto e il reclamo avanti al prefetto.;Il ricorso al giudice del lavoro e al giudice di pace.;
40;La determinazione è un atto?;Sì, monocratico.;Sì, collegiale.;Sì, bilaterale.;No.;
41;Quale, tra i seguenti elementi, è estraneo all’atto amministrativo?;Bilateralità.;Unilateralità.;Accidentalità.;Legittimità.;
42;Con riferimento al provvedimento amministrativo, cos’è che indica le ragioni giuridiche e i presupposti di fatto del provvedere?;La motivazione.;Il preambolo.;L’intestazione.;La tipicità.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
43;Con riferimento al provvedimento amministrativo, le circostanze di fatto e di diritto sono enunciate:;nel preambolo.;nella motivazione.;nel soggetto.;nel dispositivo.;
44;Con riferimento al provvedimento amministrativo, cos’è che rappresenta la parte precettiva del provvedimento?;Il dispositivo.;Il preambolo.;La motivazione.;Il destinatario.;
45;Il dispositivo, nel provvedimento amministrativo, rappresenta:;la parte precettiva del provvedimento.;la circostanza di fatto e di diritto.;la ragione giuridica e il presupposto di fatto del provvedere.;l'unilaterale produzione di effetti nella sfera giuridica altrui.;
46;Il preambolo, nel provvedimento amministrativo, rappresenta:;le circostanze di fatto e di diritto.;la parte precettiva del provvedimento.;la ragione giuridica e il presupposto di fatto del provvedere.;l'unilaterale produzione di effetti nella sfera giuridica altrui.;
47;La motivazione, nel provvedimento amministrativo, rappresenta:;le ragioni giuridiche e i presupposti di fatto del provvedere.;le circostanze di fatto e di diritto.;l'unilaterale produzione di effetti nella sfera giuridica altrui.;la parte precettiva del provvedimento.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
48;Quale, i seguenti, è un elemento accidentale dell’atto amministrativo?;La condizione.;L’intestazione.;Il preambolo.;Il contenuto.;
49;Quale, tra i seguenti, è un elemento essenziale dell’atto amministrativo?;La volontà.;La riserva.;Il termine.;La motivazione.;
50;L'adozione di un atto amministrativo meramente confermativo del precedente:;non riapre i termini per proporre ricorso al T.A.R.;riapre i termini per proporre ricorso al T.A.R.;consente ma non impone una nuova impugnazione.;riapre i termini solo se il nuovo atto è illegittimo.;
51;Il provvedimento che produce la cessazione definitiva ex nunc dell’efficacia di un altro provvedimento si definisce:;revoca.;mero ritiro.;annullamento.;rimozione.;
52;L'attività amministrativa vincolata comporta:;l'interpretazione dei presupposti giuridici e di fatto indicati dalle norme.;la ponderazione degli interessi pubblici primari e secondari.;la valutazione degli interessi pubblici secondari.;la valutazione degli interessi privati.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
53;In caso di nuova valutazione dell'interesse pubblico originario, il provvedimento amministrativo ad efficacia durevole può essere:;revocato.;convalidato.;autorizzato.;finalizzato.;
54;L'atto con cui un privato determina l'avvio di procedimenti amministrativi di secondo grado si definisce:;ricorso.;istanza.;denuncia.;proposizione.;
55;Il provvedimento Amministrativo viziato da incompetenza relativa è:;annullabile.;nullo.;inesistente;sanabile.;
56;Il provvedimento amministrativo che manca degli elementi essenziali è:;nullo.;annullabile.;inesistente.;sanabile.;
57;L'esecutività e l'obbligatorietà sono:;requisiti di efficacia dell'atto amministrativo.;requisiti di legittimità dell'atto amministrativo.;elementi accidentali dell'atto amministrativo.;requisiti inerenti alla forma dell'atto amministrativo.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
58;L'atto amministrativo redatto in forma elettronica è:;valido ed efficace.;Inefficace.;Invalido.;Inesistente.;
59;Quali sono gli elementi accidentali dell'atto amministrativo?;termine, condizione, onere e riserva.;luogo, data e sottoscrizione.;intestazione, preambolo e dispositivo.;intestazione e preambolo.;
60;La protrazione degli effetti di un provvedimento amministrativo si definisce:;proroga.;sanatoria.;rinnovazione.;estensione.;
61;In quali casi un atto amministrativo è annullabile?;Quando presenta vizi di legittimità che incidono sugli elementi essenziali.;Quando è illecito.;Quando è ineseguibile.;Quando è imperfetto.;
62;Che cosa si intende per dispensa?;Un provvedimento con cui la P.A. consente ad un soggetto di derogare alla legge.;Un provvedimento con cui la P.A. conferisce a soggetti indeterminati nuovi diritti.;Un provvedimento con cui la P.A. rimuove un limite legale per l'esercizio di un diritto soggettivo.;Un provvedimento con cui la P.A. conferisce a determinati soggetti nuovi diritti.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
63;Quando un atto amministrativo è annullabile:;può essere sempre sanato.;può essere sanato solo con ratifica.;non può essere mai sanato.;può essere sanato solo con convalida.;
64;I vizi dell'atto amministrativo sono:;incompetenza, eccesso di potere e violazione di legge.;competenza, eccesso di potere e violazione di legge.;abuso di potere, eccesso di potere e violazione di legge.;abuso di potere, trasparenza e competenza.;
65;Gli interessi legittimi costituiscono:;la pretesa alla legittimità di un atto amministrativo riconosciuto in favore di chi gode di una posizione differenziata dinanzi all'esercizio di un potere discrezionale delle PP.AA.;la pretesa che la P.A. adempia ai doveri di legge.;una particolare forma in cui si atteggiano i diritti dei cittadini.;una quota calcolata dalla P.A. in favore del cittadino in caso di soccombenza in giudizio dello stesso;
66;L'atto nullo può essere revocato?;"No; può soltanto intervenire un atto meramente dichiarativo di nullità.";"No; può essere solo abrogato.";Sì, sempre.;Solo nel caso di malafede.;
67;L’atto amministrativo nullo è:;giuridicamente inesistente.;giuridicamente esistente.;annullabile.;comunque, valido.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
68;Nell’esercizio della giurisdizione di legittimità, il giudice amministrativo ha:;il potere di annullare gli atti illegittimi.;il potere di annullare e di riformare gli atti illegittimi.;solo il potere di riformare gli atti illegittimi in materia di pubblico impiego.;il potere di condannare la Pubblica Amministrazione al risarcimento del danno.;
69;"Per ""efficacia"" di un atto amministrativo si intende:";L’attitudine dell'atto a produrre effetti.;L’immunità dell’atto da vizi di legittimità.;L’immunità dell’atto da vizi di merito.;L’attitudine dell’atto a essere rigettato.;
70;Il ricorso in opposizione:;può essere proposto per motivi di legittimità o merito.;non può essere proposto per motivi di legittimità.;può essere proposto solo a tutela di diritti soggettivi.;è rivolto all’autorità gerarchicamente superiore.;
71;Sono atti amministrativi costitutivi:;gli atti che creano, modificano o estinguono un rapporto giuridico preesistente.;gli atti che si limitano ad accertare una determinata situazione, senza influire su di essa.;gli atti che attribuiscono al destinatario nuovi poteri e nuove facoltà, ampliando la sua sfera giuridica.;gli atti tendenti ad illuminare mediante consigli tecnici, giuridici ed economici, gli organi di amministrazione attiva.;
72;Il ricorso in opposizione deve essere proposto:;all’organo che ha emanato l’atto impugnato.;al superiore gerarchico dell’organo che ha emanato l’atto.;al Capo dello Stato.;al Ministro competente per materia.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
73;Il potere di promuovere e resistere alle liti e di conciliare e transigere per le amministrazioni statali spetta:;ai dirigenti di uffici dirigenziali generali.;all’Avvocatura dello Stato.;all’organo di controllo.;al Presidente del Consiglio dei Ministri.;
74;Il giudice ordinario:;non può revocare o modificare l’atto amministrativo, salvo i casi di eccezione definiti dalla legge.;può solo revocare l’atto amministrativo.;può solo modificare l’atto amministrativo.;può revocare o modificare l’atto amministrativo solo se causa di un comportamento illecito.;
75;Il ricorso giurisdizionale non notificato all’organo che ha emanato il provvedimento:;è inammissibile.;è ammissibile.;è viziato, ma sanabile se non eccepito alla prima udienza.;determina una decisione di rigetto nel merito.;
76;Il ricorso gerarchico può essere proposto anche per far valere i vizi di merito di un atto?;Sì.;No, in nessun caso.;Solo per alcune materie.;Solo per alcuni tipi di atti.;
77;A quale giudice spetta il giudizio di ottemperanza?;Al TAR e al Consiglio di Stato.;Alla Corte di Cassazione.;Alla Corte dei Conti.;Al giudice ordinario.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
78;Quante volte può essere ammesso un ricorso gerarchico relativo ad un unico atto amministrativo?;Una volta.;Sempre.;Due volte.;Dipende dall’atto impugnato.;
79;Il ricorso gerarchico va proposto entro il termine, decorrente dalla notificazione o comunicazione in via amministrativa dell’atto impugnato, di:;trenta giorni.;sessanta giorni.;novanta giorni.;dieci giorni.;
80;Come si manifesta il potere di autotutela della P.A., allorché sia necessario eliminare un provvedimento viziato sotto il profilo dei presupposti di merito?;Con la revoca dell'atto.;Con l'annullamento dell'atto.;Con la convalida dell'atto.;Con dichiarazione di inesistenza dell'atto.;
81;Quale, fra i seguenti, è un atto amministrativo?;Rilascio della patente.;Decreto-legge.;Approvazione del bilancio dello Stato.;Sentenza di un giudice amministrativo.;
82;Quando un ricorso amministrativo sia stato presentato fuori termine, l'istanza è dichiarata:;irricevibile.;inammissibile.;nulla.;valutabile.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
83;Il ricorso in opposizione:;può essere proposto sia a tutela di interessi legittimi che di diritti soggettivi.;è proponibile contro qualunque atto, definitivo e non.;può essere proposto solo a tutela di interessi legittimi.;può essere proposto solo a tutela di diritti soggettivi.;
84;Il provvedimento con cui la Pubblica Amministrazione esonera un soggetto dall’osservanza di un dovere o dall’adempimento di un obbligo si definisce:;Dispensa.;Esonero.;Esenzione.;Esclusione.;
85;La motivazione dei provvedimenti amministrativi:;può risultare per relationem o essere implicita.;non può essere né implicita né per relationem.;può essere implicita, ma non per relationem.;può risultare per relationem, ma non essere implicita.;
86;Contro gli atti amministrativi definitivi:;è ammissibile ricorso amministrativo straordinario al Presidente della Repubblica.;non è ammissibile ricorso giurisdizionale al TAR.;è’ ammissibile ricorso amministrativo gerarchico.;non è ammissibile ricorso straordinario al Capo dello Stato.;
87;Come viene definita la manifestazione di volontà con cui la Pubblica Amministrazione elimina il vizio che inficia un suo atto invalido?;convalida.;assestamento.;conversione.;proroga.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
88;Quale tra le seguenti è una caratteristica propria del ricorso gerarchico improprio?;è ammesso solo nei casi in cui non esiste rapporto di gerarchia.;presuppone un rapporto di gerarchia in senso tecnico.;è proponibile solo nel rapporto fra organi individuali.;è soltanto esterno.;
89;Contro gli atti amministrativi non definitivi:;è ammissibile ricorso giurisdizionale al TAR.;non è ammissibile ricorso amministrativo gerarchico.;è ammissibile ricorso straordinario al Presidente della Repubblica.;non è ammissibile ricorso in opposizione.;
90;In tema di disposizioni sulla tutela amministrativa, a quale autorità si propone il ricorso in opposizione?;Allo stesso organo che ha emesso l’atto.;Al ministero competente.;All’organo gerarchicamente superiore a quello che ha emesso l’atto impugnato.;Al TAR.;
91;Con la proposizione del ricorso gerarchico possono essere tutelati:;sia i diritti soggettivi che gli interessi legittimi.;unicamente i diritti soggettivi.;unicamente gli interessi legittimi.;solo gli interessi gerarchici.;
92;Cosa si intende per sentenza amministrativa?;Una decisione giurisdizionale.;Una decisione del Consiglio comunale.;Una speciale ordinanza.;Un parere del difensore civico.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
93;Come è definita la condotta del soggetto che rinuncia alla possibilità di impugnare l'atto amministrativo?;Acquiescenza.;Convalida.;Conferma.;Estensione.;
94;Un atto amministrativo può essere annullato dal giudice ordinario?;No.;Sì.;Dipende dalla natura dell’atto.;Sì, salvo le eccezioni espressamente previste.;
95;L'atto con cui la P.A. elimina il vizio che rende invalido un atto già emanato si definisce:;convalida.;revoca.;conversione.;annullamento.;
96;I ricorsi contro atti o provvedimenti relativi a rapporti di concessione di beni pubblici sono devoluti:;alla competenza dei Tribunali Amministrativi Regionali.;alla competenza del Consiglio di Stato.;alla competenza della Autorità Giudiziaria ordinaria.;alla competenza della Corte dei Conti.;
97;Il ricorso in opposizione è dichiarato irricevibile se presentato oltre il termine perentorio di:;30 giorni.;15 giorni.;60 giorni.;90 giorni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
98;Nell’ambito del diritto amministrativo, per “approvazione” si intende:;il provvedimento permissivo che consente l’esercizio di determinati diritti o facoltà, mediante il quale la Pubblica Amministrazione rende efficaci ed eseguibili atti giuridici già compiuti e perfetti.;l’atto con cui la Pubblica Amministrazione manifesta il proprio assenso alla richiesta di un privato nelle materie per le quali non è necessario il rilascio di un’autorizzazione formale.;il provvedimento con cui la Pubblica Amministrazione, sulla base di una valutazione discrezionale, consente ad un soggetto di compiere un determinato atto in deroga ad un divieto di legge.;l’atto con cui un’autorità amministrativa dichiara di non aver osservazioni da fare in ordine all’adozione di un provvedimento da parte di un’altra autorità.;
99;Ai sensi della L. n. 190/2012, adotta il piano nazionale anticorruzione:;la Commissione per la valutazione, la trasparenza e l'integrità delle amministrazioni pubbliche.;il Comitato interministeriale istituito e disciplinato con decreto del Presidente del Consiglio dei Ministri.;il Responsabile della prevenzione, della corruzione e della trasparenza.;la Conferenza unificata di cui all'articolo 8, comma 1, del decreto legislativo 28 agosto 1997, n. 281.;
100;La Scuola superiore della pubblica amministrazione, secondo il disposto della Legge n. 190/2012, predispone percorsi di formazione dei dipendenti delle pubbliche amministrazioni:;statali sui temi dell'etica e della legalità.;comunali e statali sui temi della legalità e trasparenza.;statali sui temi della legalità, correttezza e trasparenza.;statali sui temi della legalità, etica e trasparenza.;
101;Un elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa operanti in specifici settori, ai sensi del disposto della L. n. 190/2012, è istituito:;presso ogni prefettura.;presso ogni stazione appaltante.;presso il Ministero del lavoro e delle politiche sociali.;presso ogni questura centrale.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
102;Il piano di prevenzione della corruzione viene trasmesso, secondo quanto previsto dalla L. n. 190/2012:;al Dipartimento della funzione pubblica.;al Dipartimento della pubblica sicurezza.;al Ministero per la pubblica amministrazione.;all'Autorità nazionale anticorruzione.;
103;L'attività di elaborazione del Piano triennale per la prevenzione della corruzione, secondo le disposizioni della L. n. 190/2012:;non può essere affidata a soggetti estranei all'amministrazione.;non può essere affidata a soggetti estranei all'amministrazione, salvo previsione espressa nello statuto degli enti locali.;può essere affidata a soggetti estranei all'amministrazione per deroga prevista negli atti degli organi di governo dell'ente pubblico.;può essere affidata a soggetti estranei all'amministrazione, salvo espresso divieto contenuto negli statuti degli enti locali.;
104;Le imprese operanti in settori specifici ex art. 1, comma 52, della L. n. 190/2012 devono comunicare qualsiasi modifica dell'assetto proprietario e dei propri organi sociali:;entro 30 giorni dalla data della modifica per la permanenza nell'elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa.;entro 15 giorni dalla data della modifica per la permanenza nell'elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa.;entro 40 giorni dalla data della modifica per la permanenza nell'elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa.;entro 45 giorni dalla data della modifica per la permanenza nell'elenco di fornitori, prestatori di servizi ed esecutori di lavori non soggetti a tentativi di infiltrazione mafiosa.;
105;i dati delle posizioni dirigenziali attribuite a persone, anche esterne alle pubbliche amministrazioni, individuate discrezionalmente dall'organo di indirizzo politico senza procedure pubbliche di selezione sono comunicate ai sensi della L. n. 190/2012:;al Dipartimento della funzione pubblica, per il tramite degli organismi di valutazione.;al Dipartimento della pubblica sicurezza per il tramite degli organismi di valutazione.;al Dipartimento della pubblica sicurezza e all'Autorità nazionale anticorruzione per il tramite degli organismi di valutazione.;al Dipartimento della pubblica sicurezza, al Dipartimento della funzione pubblica e all'Autorità nazionale anticorruzione per il tramite degli organismi di valutazione.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
106;In base alle norme della L. n. 190/2012, in caso di commissione, all'interno dell'amministrazione, di un reato di corruzione accertato con sentenza passata in giudicato, il responsabile risponde:;sul piano disciplinare, oltre che per il danno erariale e all'immagine della pubblica amministrazione.;sul piano disciplinare, civile e tributario, oltre al danno erariale all'immagine della pubblica amministrazione.;sul piano disciplinare e civile, oltre al danno all'immagine della pubblica amministrazione, escluso il danno erariale salvo che sia espressamente provato.;sul piano disciplinare, oltre che per il danno erariale e tributario della pubblica amministrazione, escluso il danno all'immagine salvo che sia espressamente provato.;
