26;I provvedimenti che impongono limitazioni nella corrispondenza epistolare e telegrafica e nella ricezione della stampa nei confronti del condannato, di cui all'art. 18-ter della L. n. 354/1975 e ss.mm.ii.:;sono adottati con decreto motivato, su richiesta del Pubblico Ministero o su proposta del direttore dell'istituto.;"sono adottati con decreto motivato, su richiesta del Pubblico Ministero; non possono essere adottati su proposta del direttore dell'istituto.";"sono adottati con decreto motivato, su proposta del Direttore dell'istituto o del Comandante del reparto; non possono essere adottati su richiesta del Pubblico Ministero.";sono adottati con decreto motivato, su richiesta del Capo dell'Amministrazione penitenziaria o su proposta del direttore dell'istituto.;
27;Avverso il provvedimento di sottoposizione della corrispondenza del condannato a visto di controllo, di cui al art. 18-ter della L. n. 354/1975 e ss.mm.ii., può essere proposto reclamo?;Sì, al Tribunale di sorveglianza, se il provvedimento è emesso dal Magistrato di sorveglianza, ovvero, negli altri casi, al Tribunale nel cui circondario ha sede il giudice che ha emesso il provvedimento.;Sì, in ogni caso al Tribunale di sorveglianza.;Sì, al direttore dell'istituto.;No, in nessun caso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
28;A norma della L. n. 354/1975 e ss.mm.ii., i proventi delle manifatture carcerarie e il corrispettivo dei servizi, prodotti o forniti dall'Amministrazione penitenziaria impiegando l'attività lavorativa dei detenuti e degli internati:;sono versati all'entrata del bilancio dello Stato per essere annualmente riassegnati, con decreto del Ministro dell'economia e delle finanze all'apposito capitolo del Ministero della giustizia.;sono versati direttamente all'apposito capitolo del Ministero della giustizia.;sono versati, secondo la ripartizione definita dal Dipartimento dell'Amministrazione penitenziaria, ai Provveditorati regionali e da questi ultimi assegnati agli istituti penitenziari del distretto.;sono versati all'entrata del bilancio dello Stato per essere annualmente riassegnati, con decreto del Presidente del Consiglio dei ministri all'apposito capitolo del Dipartimento dell'Amministrazione penitenziaria.;
29;A norma della L. n. 354/1975 e ss.mm.ii., i detenuti e gli internati possono essere ammessi a esercitare attività di produzione di beni da destinare all'autoconsumo?;Sì, e le modalità di svolgimento dell'attività in autoconsumo sono stabilite con decreto del Ministro della giustizia, di concerto con il Ministro dell'economia e delle finanze.;Sì, e le modalità di svolgimento dell'attività in autoconsumo sono stabilite dal direttore dell'istituto.;No, in nessun caso.;Sì, e le modalità di svolgimento dell'attività in autoconsumo sono stabilite con provvedimento del Dipartimento dell'Amministrazione penitenziaria.;
30;"""Il direttore dell'istituto può affidare, con contratto d'opera, la direzione tecnica delle lavorazioni a persone estranee all'Amministrazione penitenziaria, le quali curano anche la specifica formazione dei responsabili delle lavorazioni e concorrono alla qualificazione professionale dei detenuti"". A norma dell'art. 20-bis (""Modalità di organizzazione del lavoro"") della L. n. 354/1975 e ss.mm.ii., tale affermazione è:";errata, poiché è il Provveditore regionale dell'Amministrazione penitenziaria che può affidare, con contratto d'opera, la direzione tecnica delle lavorazioni a persone estranee all'Amministrazione penitenziaria.;corretta.;errata, poiché è il Capo del Dipartimento dell'Amministrazione penitenziaria che può affidare, con contratto d'opera, la direzione tecnica delle lavorazioni a persone estranee all'Amministrazione penitenziaria.;errata, poiché è il Tribunale di sorveglianza che può affidare, con contratto d'opera, la direzione tecnica delle lavorazioni a persone estranee all'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
31;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., nei confronti del detenuto condannato alla pena della reclusione per delitti commessi per finalità di terrorismo che intraprenda una collaborazione con la giustizia a norma dell'art. 58-ter della medesima legge:;può essere disposta l'assegnazione del lavoro all'esterno dopo l'espiazione di almeno un terzo della pena e, comunque, di non oltre cinque anni.;può essere disposta l'assegnazione del lavoro all'esterno dopo l'espiazione di almeno un terzo della pena e, comunque, di non oltre dieci anni.;non può essere disposta l'assegnazione del lavoro all'esterno.;può essere disposta l'assegnazione del lavoro all'esterno dopo l'espiazione di almeno due terzi della pena e, comunque, di non oltre cinque anni.;
32;Così come disciplinato dalla L. n. 354/1975 e ss.mm.ii., nei confronti del detenuto condannato alla pena della reclusione per violenza sessuale di gruppo che intraprenda una collaborazione con la giustizia a norma dell'art. 58-ter della medesima legge:;può essere disposta l'assegnazione del lavoro all'esterno dopo l'espiazione di almeno un terzo della pena e, comunque, di non oltre cinque anni.;può essere disposta l'assegnazione del lavoro all'esterno dopo l'espiazione di almeno due terzi della pena e, comunque, di non oltre dieci anni.;non può essere disposta l'assegnazione del lavoro all'esterno.;può essere disposta l'assegnazione del lavoro all'esterno dopo l'espiazione di almeno un terzo della pena e, comunque, di non oltre sette anni.;
33;A norma della L. n. 354/1975 e ss.mm.ii., in caso di imminente pericolo di vita del figlio minore, la madre detenuta è autorizzata a recarsi a visitare il figlio infermo:;con provvedimento del Magistrato di sorveglianza o, in caso di assoluta urgenza, del direttore dell’istituto.;con provvedimento del direttore dell'istituto o, in caso di assoluta urgenza, del Magistrato di sorveglianza.;con provvedimento del Magistrato di sorveglianza, anche in caso di assoluta urgenza.;con provvedimento del Consiglio di disciplina dell'istituto in caso di assoluta urgenza, del Magistrato di sorveglianza.;
34;Secondo il disposto dalla L. n. 354/1975 e ss.mm.ii., in caso di figlio affetto da handicap in situazione di gravità accertata, la madre detenuta è autorizzata a recarsi a visitare il figlio affetto da tale situazione di gravità?;Sì, con provvedimento del Magistrato di sorveglianza.;Sì, con provvedimento del Capo del dipartimento dell'Amministrazione penitenziaria.;Sì, con provvedimento del Provveditore regionale dell'Amministrazione penitenziaria.;No, in nessun caso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
35;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., la remunerazione per ciascuna categoria di detenuti e internati che lavorano alle dipendenze dell'amministrazione penitenziaria è stabilita, in relazione alla quantità e qualità del lavoro prestato:;in misura pari ai due terzi del trattamento economico previsto dai contratti collettivi.;in misura pari a un terzo del trattamento economico previsto dai contratti collettivi.;nella medesima misura del trattamento economico previsto dai contratti collettivi.;da specifica circolare del Dipartimento dell'Amministrazione Penitenziaria emessa con cadenza annuale.;
36;Secondo la disciplina dettata dalla L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni è corretta?;Ai detenuti che lavorano sono dovuti, per le persone a carico, gli assegni familiari nella misura e secondo le modalità di legge.;La remunerazione per ciascuna categoria di detenuti che lavorano alle dipendenze dell'amministrazione penitenziaria è stabilita, in relazione alla quantità e qualità del lavoro prestato, in misura pari ad un terzo del trattamento economico previsto dai contratti collettivi.;Sulla remunerazione spettante ai condannati che lavorano alle dipendenze dell'amministrazione penitenziaria non possono essere prelevate le somme dovute a titolo di risarcimento del danno e di rimborso delle spese di procedimento.;La remunerazione dovuta agli internati e agli imputati che lavorano alle dipendenze dell'amministrazione penitenziaria è soggetta a pignoramento ma non a sequestro.;
37;Il peculio dei detenuti e degli internati, di cui all'art.25 della L. n. 354/1975 e ss.mm.ii.:;è costituito, tra l'altro, dal denaro ricavato dalla vendita degli oggetti di loro proprietà.;è costituito esclusivamente dal denaro posseduto all'atto dell’ingresso in istituto.;non è costituito dal denaro ricevuto a titolo di premio o di sussidio.;è costituito esclusivamente dal denaro posseduto all'atto dell' ingresso in istituto e da quello inviato dalla famiglia e da altri.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
38;Le Commissioni regionali per il lavoro penitenziario, di cui all'art. 25-bis della L. n. 354/1975 e ss.mm.ii. sono presiedute:;dal Provveditore regionale dell'Amministrazione penitenziaria.;dal Dirigente del centro per la giustizia minorile.;dal direttore dell'Ufficio interdistrettuale dell'esecuzione penale esterna.;da un esperto nominato dal Capo dell'Amministrazione penitenziaria.;
39;A norma dell'art. 25-bis della L. n. 354/1975 e ss.mm.ii., dove sono indicate le attività lavorative che possono aver esecuzione in luoghi a sicurezza attenuata?;Nel regolamento interno di ciascun istituto.;Nella stessa L. n. 354/1975.;In uno specifico provvedimento del Capo dell'Amministrazione penitenziaria.;In uno specifico provvedimento del Ministro della giustizia.;
40;"""Nel caso di imminente pericolo di vita di un familiare o di un convivente, ai condannati e agli internati può essere concesso dal Tribunale di sorveglianza il permesso di recarsi a visitare, con le cautele previste dal regolamento, l'infermo"". A norma della L. n. 354/1975 e ss.mm.ii., tale affermazione è:";errata, poiché è il Magistrato di sorveglianza che concede il permesso.;corretta.;errata, poiché è il Consiglio di disciplina dell'istituto che concede il permesso.;errata, poiché è il Provveditore regionale territorialmente competente che concede il permesso.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
41;A norma della L. n. 354/1975 e ss.mm.ii., il detenuto che, previo permesso concesso dall'autorità competente, si reca a visitare il familiare in imminente pericolo di vita e non rientra in istituto allo scadere del permesso senza giustificato motivo:;"è punito in via disciplinare se l'assenza si protrae per oltre tre ore e per non più di dodici; se invece l'assenza si protrae per un tempo maggiore, è punibile a norma del primo comma dell'art. 385 del codice penale.";è punito in via disciplinare, in ogni caso.;"è punito in via disciplinare se l'assenza si protrae per oltre sei ore e per non più di ventiquattro; se invece l'assenza si protrae per un tempo maggiore, è punibile a norma del primo comma dell'art. 385 del codice penale.";è punito a norma del primo comma dell'art. 385 del codice penale, in ogni caso.;
42;Così come disposto dalla L. n. 354/1975 e ss.mm.ii., il detenuto che, a seguito di permesso ricevuto dall'autorità competente, si reca a visitare il familiare in imminente pericolo di vita e rientra in istituto dopo cinque ore dallo scadere del permesso senza giustificato motivo, è punito:;in via disciplinare.;con un incremento della pena da scontare fino ad un massimo di 15 giorni aggiuntivi.;con una pena pecuniaria.;con una segnalazione al Tribunale di sorveglianza a cui spetterà avrà il compito di valutare e definire l'eventuale sanzione da comminare.;
43;La detenzione domiciliare sostitutiva, di cui all'art. 56 della L. n. 689/1981 e ss.mm.ii., prevede la possibilità per il condannato di lasciare il proprio domicilio?;Sì, per almeno quattro ore al giorno.;Sì, per almeno sei ore al giorno.;Sì, per almeno due ore al giorno.;No, come espressamente previsto dalla medesima normativa.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
44;La detenzione domiciliare sostitutiva, di cui all'art. 56 della L. n. 689/1981 e ss.mm.ii., comporta l'obbligo per il condannato di rimanere nella propria abitazione o in altro luogo di privata dimora ovvero in luogo pubblico o privato di cura, assistenza o accoglienza ovvero in comunità o in case famiglia protette:;per non meno di dodici ore al giorno.;per non meno di sei ore al giorno.;per non meno di nove ore al giorno.;per non meno di diciotto ore al giorno.;
45;Il lavoro di pubblica utilità sostitutivo, di cui all'art. 56-bis della L. n. 689/1981 e ss.mm.ii., comporta per il condannato lo svolgimento di una prestazione lavorativa che abbia una durata massima settimanale pari a:;quindici ore.;ventiquattro ore.;diciotto ore.;trentasei ore.;
46;Il lavoro di pubblica utilità sostitutivo, di cui all'art. 56-bis della L. n. 689/1981 e ss.mm.ii., comporta per il condannato lo svolgimento di una prestazione lavorativa che abbia una durata minima settimanale pari a:;sei ore.;dodici ore.;tre ore.;nove ore.;
47;Il lavoro di pubblica utilità sostitutivo, di cui all'art. 56-bis della L. n. 689/1981 e ss.mm.ii., comporta per il condannato lo svolgimento di una prestazione lavorativa che abbia una durata massima giornaliera pari a:;otto ore.;quattro ore.;due ore.;sei ore.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
48;Il condannato ammesso alla semilibertà sostitutiva, di cui all'art. 55 della L. n. 689/1981 e ss.mm.ii., è sottoposto a un programma di trattamento:;predisposto dall'Ufficio di esecuzione penale esterna ed approvato dal giudice.;predisposto dal direttore dell'istituto e approvato dall'Ufficio di esecuzione penale esterna.;predisposto dall'Ufficio di esecuzione penale esterna e approvato dal Capo del dipartimento dell'Amministrazione penitenziaria.;predisposto dal Consiglio di disciplina dell'istituto e approvato dall'Ufficio di esecuzione penale esterna.;
49;Il condannato ammesso alla semilibertà sostitutiva, di cui all'art. 55 della L. n. 689/1981 e ss.mm.ii., è obbligato a trascorrere nell'istituto di pena:;almeno otto ore al giorno.;almeno dodici ore al giorno.;almeno quattro ore al giorno.;almeno sedici ore al giorno.;
50;Con riferimento alla disciplina del lavoro di pubblica utilità sostitutivo, di cui all'art. 56-bis della L. n. 689/1981 e ss.mm.ii., la durata settimanale della prestazione lavorativa del condannato:;va da un minimo di 6 ore ad un massimo di 15 ore di lavoro settimanale.;va da un minimo di 12 ore ad un massimo di 24 ore di lavoro settimanale.;va da un minimo di 4 ore ad un massimo di 12 ore di lavoro settimanale.;va da un minimo di 8 ore ad un massimo di 18 ore di lavoro settimanale.;
51;A norma dell'art. 46-sexies della L. n. 354/1975 e ss.mm.ii., la misura della detenzione domiciliare speciale è disposta:;dal Tribunale di sorveglianza.;dal direttore dell'istituto.;dal Consiglio di disciplina dell'istituto.;dal Provveditore regionale dell'Amministrazione penitenziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
52;A norma dell'art. 51-ter della L. n. 354/1975 e ss.mm.ii., il provvedimento di sospensione della misura alternativa alla detenzione perde efficacia se…;la decisione del tribunale non interviene entro 30 giorni dalla ricezione degli atti.;la decisione del tribunale non interviene entro 60 giorni dalla ricezione degli atti.;la decisione del Provveditore regionale dell'Amministrazione penitenziaria non interviene entro 30 giorni dalla ricezione degli atti.;la decisione del Consiglio di disciplina dell'istituto non interviene entro 60 giorni dalla ricezione degli atti.;
53;A norma dell'art. 51-ter della L. n. 354/1975 e ss.mm.ii., la sospensione provvisoria della misura alternativa alla detenzione è disposta:;dal Magistrato di sorveglianza.;dal Tribunale di sorveglianza, previo parere favorevole del Provveditore regionale dell'Amministrazione Penitenziaria.;dal Provveditore regionale dell'Amministrazione Penitenziaria, previo parere favorevole del Magistrato di sorveglianza.;dal Provveditore regionale dell'Amministrazione penitenziaria.;
54;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii., l'amministrazione penitenziaria può autorizzare persone idonee all'assistenza e all'educazione a frequentare gli istituti penitenziari allo scopo di partecipare all'opera rivolta al sostegno morale dei detenuti e degli internati, e al futuro reinserimento nella vita sociale?;Sì, su proposta del Magistrato di sorveglianza.;Sì, su provvedimento motivato del Tribunale di sorveglianza.;Sì, su provvedimento motivato del Provveditore regionale dell'Amministrazione penitenziaria.;Sì, su proposta del Consiglio di disciplina dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
55;"Con riferimento alla disciplina prevista dall'art. 47-ter (""Detenzione domiciliare"") della L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni, è corretta?";La pena della reclusione non superiore a quattro anni, anche se costituente parte residua di maggior pena, può essere espiata nella propria abitazione o in altro luogo di privata dimora quando trattasi persona in condizioni di salute particolarmente gravi, che richieda costanti contatti con i presidi sanitari territoriali.;La pena della reclusione non superiore a quattro anni, purché non costituente parte residua di maggior pena, può essere espiata nella propria abitazione o in altro luogo di privata dimora quando trattasi persona in condizioni di salute particolarmente gravi, che richieda costanti contatti con i presidi sanitari territoriali.;La pena della reclusione non superiore a cinque anni, purché non costituente parte residua di maggior pena, può essere espiata nella propria abitazione o in altro luogo di privata dimora quando trattasi persona in condizioni di salute particolarmente gravi, che richieda costanti contatti con i presidi sanitari territoriali.;La pena della reclusione non superiore a cinque anni, anche se costituente parte residua di maggior pena, può essere espiata nella propria abitazione o in altro luogo di privata dimora quando trattasi persona in condizioni di salute particolarmente gravi, che richieda costanti contatti con i presidi sanitari territoriali.;
56;Secondo quanto disciplinato dalla L. n. 354/1975 e ss.mm.ii. le decisioni del Tribunale di sorveglianza sono emesse:;con ordinanza in Camera di consiglio.;con decreto in Camera di consiglio.;con sentenza del Presidente.;con decreto in Camera di consiglio, salvo le eccezioni espressamente previste dalla medesima normativa.;
57;Così come disciplinato dalla L. n. 354/1975 e ss.mm.ii. chi concede l'autorizzazione a persone idonee all'assistenza e all'educazione a frequentare gli istituti penitenziari allo scopo di partecipare all'opera rivolta al sostegno morale dei detenuti e degli internati, e al futuro reinserimento nella vita sociale?;L'Amministrazione penitenziaria, su proposta del Magistrato di sorveglianza.;Il Tribunale di sorveglianza.;Il Magistrato di sorveglianza.;Il Magistrato di sorveglianza, su proposta del direttore dell'istituto.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
