N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
9;Il Pubblico Ministero dispone, in virtù dell'art. 450 c.p.p., se ritiene di procedere a giudizio direttissimo:;di far condurre direttamente all’udienza l’imputato arrestato in flagranza o in stato di custodia cautelare.;chiede al Giudice per le indagini preliminari l’autorizzazione a condurre direttamente all’udienza l’imputato.;chiede al Giudice del dibattimento l’autorizzazione a condurre direttamente all’udienza l’imputato.;cita l’imputato a comparire all’udienza anche se questi è arrestato in flagranza o in stato di custodia cautelare.
10;L’informazione di garanzia, ex art. 369 c.p.p., deve contenere:;l’indicazione delle norme di legge che si assumono violate, la data e il luogo del fatto e l’invito a nominare un difensore.;tra, l’altro, la determinazione del Pubblico Ministero circa l’esercizio dell’azione penale.;necessariamente l’invito a presentarsi dinanzi al Pubblico Ministero.;necessariamente l’invito a presentarsi dinanzi alla Polizia Giudiziaria per rendere dichiarazioni.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
11;Secondo il codice di procedura penale, l’esecuzione del decreto penale di condanna pronunciato a carico di più persone imputate dello stesso reato:;rimane sospesa nei confronti di coloro che non hanno proposto opposizione fino a quando il giudizio conseguente all’opposizione proposta da altri coimputati non sia definito con pronuncia irrevocabile.;impedisce all’imputato opponente di chiedere il giudizio abbreviato e l’applicazione della pena a norma dell’art. 444 c.p.p.;rimane sospesa nei confronti di coloro che non hanno proposto opposizione fino a quando il giudizio conseguente all’opposizione proposta da altri coimputati non sia definito con pronuncia anche non irrevocabile;rimane sospesa solo nei confronti di coloro che hanno proposto opposizione e soltanto quando il giudizio conseguente all’opposizione sia definito con pronuncia irrevocabile.
12;Contro i provvedimenti del magistrato di sorveglianza concernenti le misure di sicurezza, in virtù dell'art. 680 c.p.p.:;possono proporre appello al Tribunale di sorveglianza il Pubblico Ministero, l’interessato e il difensore.;può proporre appello solo l’interessato o il suo difensore.;può proporre appello solo il Pubblico Ministero.;è ammesso solo il ricorso per Cassazione.
13;Se più sentenze di condanna divenute irrevocabili sono state pronunciate contro la stessa persona per il medesimo fatto, il Giudice dell’esecuzione in base all'art. 669 c.p.p.:;ordina l’esecuzione della sentenza con cui si pronunciò la condanna meno grave, revocando le altre.;ordina l’esecuzione della sentenza con cui si pronunciò la condanna più grave, revocando le altre.;ordina l’esecuzione della sentenza divenuta irrevocabile per ultima.;ordina l’esecuzione della sentenza divenuta irrevocabile per prima.
14;Quando è stato proposto appello contro un provvedimento penale, in base all'art. 665 c.p.p., se il provvedimento è stato confermato, il Giudice dell’esecuzione è:;il Giudice di primo grado.;il Giudice di appello.;la Corte di Cassazione.;il Pubblico Ministero presso il Giudice di appello.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
15;Salvo che sia diversamente disposto, secondo le norme del codice di procedura penale, le sentenze penali hanno forza esecutiva:;quando sono divenute irrevocabili.;quando sono pronunciate dal Giudice dell’appello.;quando contro di esse non è ammesso l’appello.;quando vengono depositate in cancelleria.
16;Ai sensi dell'art. 353 c.p.p., quando vi è necessità di acquisire plichi sigillati o altrimenti chiusi, l'ufficiale di polizia giudiziaria:;li trasmette intatti al pubblico ministero per l'eventuale sequestro.;li trasmette, dopo un'opportuna ispezione, al pubblico ministero per l'eventuale sequestro.;li acquisisce disponendo il sequestro con decreto.;li trasmette intatti al Prefetto territorialmente competente.
17;Acquisita la notizia di reato, la Polizia Giudiziaria secondo l'art. 347 c.p.p., deve riferire senza ritardo gli elementi essenziali del fatto e gli altri elementi raccolti:;al Pubblico Ministero.;al Giudice per le indagini preliminari.;al Pubblico Ministero e, quando individuata, alla persona offesa dal reato.;al Giudice per le indagini preliminari e, quando individuata, alla persona offesa dal reato.
18;Secondo le norme di del c.p.p., la richiesta di riesame del provvedimento che ha disposto il sequestro è presentata, nella cancelleria del tribunale del capoluogo della provincia nella quale ha sede l’ufficio che ha emesso il provvedimento, entro:;dieci giorni dalla data di esecuzione del provvedimento che ha disposto il sequestro o dalla diversa data in cui l’interessato ha avuto conoscenza dell’avvenuto sequestro.;trenta giorni dalla data di esecuzione del provvedimento che ha disposto il sequestro o dalla diversa data in cui l’interessato ha avuto conoscenza dell’avvenuto sequestro.;sessanta giorni dalla data di esecuzione del provvedimento che ha disposto il sequestro o dalla diversa data in cui l’interessato ha avuto conoscenza dell’avvenuto sequestro.;venti giorni dalla data di esecuzione del provvedimento che ha disposto il sequestro o dalla diversa data in cui l’interessato ha avuto conoscenza dell’avvenuto sequestro.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
19;Dare consigli sulla scelta del difensore, ai sensi del c.p.p.:;costituisce grave infrazione disciplinare per gli ufficiali e gli agenti di P.G. e per tutti i dipendenti dell’Amministrazione penitenziaria.;comporta la nullità del processo.;costituisce reato se avviene durante le udienze.;costituisce infrazione disciplinare ma solo se il consiglio è dato a detenuti.
20;Il Giudice privo di competenza, secondo l'art. 27 c.p.p. può adottare una misura cautelare:;contestualmente alla dichiarazione di incompetenza.;ma la misura cautelare disposta ha un'efficacia provvisoria limitata a cinque giorni dall'ordinanza che dichiara l'incompetenza.;ma la misura cautelare disposta ha un'efficacia provvisoria limitata a dieci giorni dall'ordinanza che dichiara l'incompetenza.;soltanto per i casi tassativamente e nominativamente indicati dal c.p.p.
21;In base a quanto previsto dal c.p.p., quale dei seguenti non rappresenta un caso di connessione dei procedimenti?;Il caso in cui ci sono procedimenti per reati commessi quando l’imputato era minorenne e procedimenti per reati commessi quando era maggiorenne.;Il caso in cui il reato per cui si procede è stato commesso da più persone in concorso o cooperazione fra loro, o se più persone con condotte indipendenti hanno determinato l’evento.;Il caso in cui se una persona è imputata di più reati commessi con una sola azione od omissione ovvero con più azioni od omissioni esecutive di un medesimo disegno criminoso.;Il caso in cui dei reati per cui si procede gli uni sono stati commessi per eseguire o per occultare gli altri.
22;Conformemente alle previsioni del c.p.p., si pronuncia annullamento con rinvio quando:;"sia necessario ""correggere"" il vizio di una sentenza.";il fatto non è previsto dalla legge come reato.;il reato è estinto.;il reato non appartiene alla giurisdizione del giudice ordinario.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
23;Secondo quanto sancito dal c.p.p., l'imputato può togliere effetto all'atto compiuto dal proprio difensore?;Si, con espressa dichiarazione contraria, prima che, in relazione all’atto stesso, sia intervenuto un provvedimento del giudice.;No, in nessun caso avendo con la nomina del proprio difensore di fiducia ratificato ab origine l'operato di questi.;No, ad eccezione del caso in cui l'imputato abbia la qualità di avvocato e cioè le conoscenze tecniche idonee a giudicare l'atto compiuto dal proprio difensore.;Si, senza alcuna formalità ed in ogni ordine e grado del procedimento a suo carico, revocando la nomina al difensore e nominandole un altro.
24;Il giudice, a norma dell’articolo 132 c.p.p., può disporre l’accompagnamento coattivo dell’imputato assente o contumace, quando:;la sua presenza è necessaria per l’assunzione di una prova diversa dall’esame.;lo richieda espressamente il Pubblico ministero.;lo richieda il difensore della parte offesa.;sempre ed in ogni caso lo ritenga necessario per il prosieguo del processo penale.
25;Secondo le norme dettate dal c.p.p., le parti che intendono chiedere l'esame di testimoni, periti consulenti tecnici o imputati in procedimenti connessi o collegati:;hanno l'onere di depositare in cancelleria, almeno sette giorni prima della data fissata per il dibattimento, la lista contenente l'indicazione dei nominativi e delle circostanze su cui verterà l'esame, a pena di decadenza del diritto di prova diretta.;hanno l'onere di depositare in cancelleria, almeno quindici giorni prima della data fissata per il dibattimento, la lista contenente l'indicazione dei nominativi e delle circostanze su cui verterà l'esame, a pena di decadenza del diritto di prova diretta.;possono farne richiesta prima dell'apertura del dibattimento, riservandosi di comunicare, all'apertura del dibattimento, le prove che verranno utilizzate.;possono introdurre le prove che intendono utilizzare all’apertura del dibattimento.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
26;Secondo il combinato disposto degli art. 428 e 585 c.p.p., il termine per l'impugnazione della sentenza di non luogo a procedere corrisponde a:;quindici giorni a decorrere dalla lettura del provvedimento in udienza, quando è redatta anche la motivazione, altrimenti, se la motivazione non è contestuale, il termine decorre dalla notificazione o comunicazione dell'avviso di deposito del provvedimento.;trenta giorni a decorrere dalla lettura del provvedimento in udienza, quando è redatta anche la motivazione, altrimenti, se la motivazione non è contestuale, il termine decorre dalla notificazione o comunicazione dell'avviso di deposito del provvedimento.;dieci giorni a decorrere dalla lettura del provvedimento in udienza, quando è redatta anche la motivazione, altrimenti, se la motivazione non è contestuale, il termine decorre dalla notificazione o comunicazione dell'avviso di deposito del provvedimento.;quarantacinque giorni a decorrere dalla lettura del provvedimento in udienza, quando è redatta anche la motivazione, altrimenti, se la motivazione non è contestuale, il termine decorre dalla notificazione o comunicazione dell'avviso di deposito del provvedimento.
27;Si ha rimessione del processo, ai sensi dell'art. 45 c.p.p., a tutela dell'imparzialità del giudice:;quale organo, anziché quale persona fisica, in ogni fase e grado del procedimento, e presuppone l'accertamento di situazioni ambientali che possono incidere sulla sfera volitiva delle persone che partecipano al processo.;quale persona fisica e presuppone l'accertamento di situazioni ambientali che possono incidere sulla sfera volitiva delle persone che partecipano al processo.;quale organo, anziché quale persona fisica, prima della fase di apertura del dibattimento, e presuppone l'accertamento di situazioni ambientali che possono incidere sulla sfera volitiva delle persone che partecipano al processo.;quale persona fisica, prima dell'emissione della sentenza definitoria del processo, e presuppone l'accertamento di situazioni ambientali che possono incidere sulla sfera volitiva delle persone che partecipano al processo.
28;In conformità alla disposizione dell'art. 449 c.p.p., nel caso in cui una persona è stata arrestata in flagranza di un reato, il pubblico ministero ha l'obbligo di procedere con giudizio direttissimo?;No, l'instaurazione del giudizio direttissimo è sempre rimessa alla valutazione del pubblico ministero.;Sì, l'obbligo sussiste in ogni caso di flagranza di reato, come espressamente previsto dall'art. 449 c.p.p.;Sì, l'obbligo sussiste in ogni caso di flagranza di reato ad eccezione dei casi in cui il reato risulti connesso ad altri reati soggetti al rito ordinario.;No, l'obbligo sussiste solo nel caso in cui il reato risulti connesso ad altri reati.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
29;Come sancito dall'art. 348 c.p.p., la polizia giudiziaria quando, di propria iniziativa o a seguito di delega del pubblico ministero, compie atti od operazioni che richiedono specifiche competenze tecniche, può avvalersi:;di persone idonee le quali non possono rifiutare la propria opera.;di persone idonee le quali possono rifiutare la propria opera.;di persone idonee esclusivamente indicate dall'Autorità giudiziaria competente, senza obbligo di prestazione d'opera.;di persone idonee le quali possono rifiutare la propria opera se contraria a norme imperative, all'ordine pubblico o al buon costume.
30;A norma dell'art. 352 c.p.p., le perquisizioni su iniziativa di polizia giudiziaria possono essere eseguite:;nei casi di flagranza del reato o nel caso di evasione.;esclusivamente nel caso di flagranza del reato.;esclusivamente nel caso di evasione.;in nessun caso, è sempre necessaria l'autorizzazione del pubblico ministero.
31;Nel giudizio conseguente all’opposizione a decreto penale di condanna, l’imputato ai sensi dell'art. 464 c.p.p.:;non può chiedere il giudizio abbreviato o l’applicazione della pena su richiesta, né presentare domanda di oblazione.;può chiedere il giudizio abbreviato o l’applicazione della pena su richiesta, e presentare domanda di oblazione.;può chiedere il giudizio abbreviato o l’applicazione della pena su richiesta, e presentare, nei termini previsti a pena di decadenza, domanda di oblazione.;può chiedere il giudizio abbreviato o l’applicazione della pena su richiesta, ma non può presentare domanda di oblazione, salve le eccezioni di legge.
32;Secondo le norme del c.p.p., sulla richiesta di riesame del provvedimento che ha disposto il sequestro, decide:;in composizione collegiale, il tribunale del capoluogo della provincia nella quale ha sede l’ufficio che ha emesso il provvedimento, nel termine di dieci giorni dalla ricezione degli atti.;in composizione monocratica, il tribunale del capoluogo della provincia nella quale ha sede l’ufficio che ha emesso il provvedimento, nel termine di dieci giorni dalla ricezione degli atti.;il Pubblico ministero.;il Giudice per le indagini preliminari.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
33;A norma del c.p.p., l'istituto dell'avocazione si sostanzia nel potere:;del Procuratore generale presso la Corte d'appello di sostituirsi al Pubblico ministero in primo grado nei casi di mancato esercizio dell'azione penale.;del Pubblico ministero di sostituirsi al Procuratore generale presso la Corte d'appello nei casi di mancato esercizio dell'azione penale.;del Pubblico ministero di sostituirsi al Giudice penale nei casi di mancato esercizio dell'azione penale.;del Procuratore generale presso la Corte d'appello di sostituirsi al Giudice penale nei casi di mancato esercizio dell'azione penale.
34;Con riferimento all'art. 403 c.p.p., in tema di incidente probatorio, l'utilizzabilità in dibattimento delle prove assunte nell'incidente probatorio:;è vietata nei confronti dell'imputato le prove assunte nell'incidente probatorio senza la partecipazione del suo difensore e, quindi, senza la garanzia del contraddittorio.;non possono mai essere utilizzate.;possono sempre essere utilizzate.;è rimessa al consenso di imputato e parte civile ove costituita.
35;In base alle norme del c.p.p., è possibile la riapertura delle indagini a seguito del provvedimento di archiviazione:;a seguito di richiesta del pubblico ministero motivata dall'esigenza di nuove investigazioni e con decreto motivato del giudice che autorizza la riapertura.;a seguito di richiesta di riesame al Tribunale del riesame.;a richiesta della persona offesa con istanza motivata e pedissequo decreto di autorizzazione del giudice competente.;soltanto nel caso in cui, sopravvenute nuove ulteriori circostanze, il giudice non inviti il Pubblico ministero a proseguire le indagini.
36;Il Pubblico ministero deve richiedere al giudice per le indagini preliminari la convalida dell'arresto, in base alle disposizioni del c.p.p.;entro 48 ore dall'arresto.;entro 36 ore dall'arresto.;entro 12 ore dall'arresto.;Immediatamente.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
37;Con riguardo ai casi in cui il giudice ha l'obbligo di astenersi (art. 36 c.p.p.), quale delle seguenti affermazioni è errata?;Se un prossimo congiunto di lui o del coniuge è offeso o danneggiato dal reato, eccezione fatta per il caso in cui sia intervenuto l’annullamento, lo scioglimento o la cessazione degli effetti civili del matrimonio.;Se ha dato consigli o manifestato il suo parere sull’oggetto del procedimento fuori dell’esercizio delle funzioni giudiziarie.;Se un prossimo congiunto di lui o del coniuge svolge o ha svolto funzioni di pubblico ministero.;Se vi è inimicizia grave fra lui o un suo prossimo congiunto e una delle parti private.
38;Per quanto concerne l'immediata apertura di plichi da parte dell'ufficiale di polizia giudiziaria autorizzato dal pubblico ministero, contenenti notizie utili alla ricerca e all'assicurazione di fonti di prova che potrebbero andare disperse a causa del ritardo, viste le disposizioni di cui al c.p.p., il difensore della persona nei cui confronti vengono svolte le indagini:;ha facoltà di assistere, senza diritto di essere preventivamente avvisato.;è obbligato ad assistere, senza diritto di essere preventivamente avvisato dalla polizia giudiziaria.;deve essere preventivamente avvisato in quanto obbligato ad assistere.;non ha alcuna facoltà di assistere.
39;Ai sensi dell'art. 355 c.p.p., dal pubblico ministero, se ne ricorrono i presupposti, viene convalidato il sequestro attraverso:;decreto motivato.;ordinanza.;decreto non motivato.;ordinanza obbligatoriamente motivata.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
40;Fra le seguenti cause, non importa, in virtù delle previsioni dell'art. 429 c.p., la nullità del decreto che dispone il giudizio la mancata:;indicazione della persona offesa dal reato.;identificazione in modo certo dell'imputato.;insufficiente enunciazione, in modo chiaro e preciso, del fatto, delle circostanze aggravanti e di quelle che possono comportare l'applicazione di misure di sicurezza, con l'indicazione dei relativi articoli di legge.;o insufficiente indicazione del luogo, del giorno e dell'ora della comparizione, con l'avvertimento all'imputato che non comparendo sarà giudicato in contumacia.
41;Secondo quanto previsto dal c.p.p., il giudice può ammettere prove d'ufficio?;Sì, ma solo in casi eccezionali previsti dalla legge.;Sì, sempre.;No, mai.;No, senza il consenso delle parti.
42;Secondo quanto stabilito nelle norme del c.p.p., sono oggetto di prova i fatti inerenti alla responsabilità civile derivante dal reato?;Sì, per espressa previsione contenuta al comma 3 dell'art. 187 c.p.p.;No, sono oggetto di prova, in virtù del principio della separazione delle funzioni, esclusivamente i fatti che si riferiscono all’imputazione.;No, sono oggetto di prova, in virtù del principio della separazione delle funzioni, esclusivamente i fatti che si riferiscono all’imputazione ed i fatti dai quali dipende l’applicazione di norme processuali.;Sì, per espressa previsione contenuta al comma 1 dell'art. 87 c.p.p..
43;"In materia processuale penale, in conformità alle norme del c.p.p. cosa s'intende per ""restituzione nel termine""?";È uno strumento di carattere eccezionale, destinato a riassegnare alle parti la possibilità di esercitare un potere che si era estinto per l'inutile decorso di un termine previsto a pena di decadenza.;È uno strumento di carattere generale, con il quale il Giudice riassegnare agli avvocati un termine ulteriore per l'esercizio del diritto di difesa delle parti che rappresentano.;È uno strumento di carattere generale, a cui ricorrere per la proroga dei termini, esclusivamente nel caso in cui è stata pronunciata sentenza contumaciale.;È uno strumento di carattere eccezionale, destinato a concedere alle parti il prolungamento dei termini di comparizione e può essere concessa più di una volta per ciascuna parte in ciascun grado del procedimento.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
44;Se alcuni dei processi pendono davanti al tribunale collegiale ed altri davanti al tribunale monocratico, ai sensi dell'art. 17 c.p.p.:;la riunione è disposta davanti al tribunale in composizione collegiale.;la riunione è disposta davanti al tribunale monocratico.;è vietata la riunione dei procedimenti.;la riunione dei procedimenti può effettuarsi solo nelle ipotesi tassativamente individuate dalla legge.
45;"Cosa è la ""relata di notifica"" prevista dal c.p.p. in caso di impossibilità ad effettuare la notificazione con modalità telematiche?";È la relazione che l'ufficiale giudiziario scrive in calce all'originale e alla copia notificata ed in cui sono indicate l'autorità o la parte privata richiedente, le ricerche effettuate, le generalità della persona alla quale è stata consegnata la copia, i suoi rapporti con il destinatario, le funzioni o le mansioni da essa svolte, il luogo e la data della consegna della copia, apponendo la propria sottoscrizione.;È la relazione che l'ufficiale giudiziario scrive in calce all’originale notificato ed in cui sono indicate le generalità della persona alla quale è stata consegnata la copia e la data della consegna della copia, facendo apporre sottoscrizione autografa dal destinatario.;"È la ""cartolina"" consegnata dal portalettere per l'avviso di giacenza di atti giudiziali presso l'ufficio postale.";È l'atto con il quale l'ausiliario del giudice descrive quanto è avvenuto in sua presenza nel corso dell'udienza penale.
46;Secondo quanto previsto dal c.p.p., quando il testimone si riferisce, per la conoscenza dei fatti, ad altre persone:;il giudice, a richiesta di parte o anche d'ufficio, dispone che queste siano chiamate a deporre.;il giudice, esclusivamente a richiesta di parte, dispone che queste siano chiamate a deporre.;il giudice invita il testimone a riferirsi ai soli fatti di cui abbia conoscenza diretta, non potendo in nessun caso utilizzare le testimonianze indirette rese.;il giudice considera sempre e comunque valide le testimonianze indirette rese fino ad eventuale querela di falso.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
47;Ai sensi dell’art. 454 c.p.p., entro quale termine e con quale procedura il Pubblico Ministero formula la richiesta di giudizio immediato?;Trasmettendola, entro novanta giorni dall’iscrizione della notizia di reato nel registro, alla cancelleria del GIP.;Trasmettendola, entro sessanta giorni dall’iscrizione della notizia di reato nel registro, alla cancelleria del GIP.;Trasmettendola, entro novanta giorni dall’iscrizione della notizia di reato nel registro, al difensore dell’indagato.;Trasmettendola, entro novanta giorni dal fatto di reato, alla cancelleria del GIP.
48;Quale dei seguenti atti di polizia giudiziaria, secondo le norme del c.p.p., è di esclusiva competenza degli ufficiali di polizia giudiziaria?;Accertamenti delle tracce, nel caso in cui vi sia pericolo di modifica e il pubblico ministero non possa intervenire tempestivamente.;Arresto di chiunque è colto in flagranza di un delitto di rapina previsto dal codice penale, non colposo, consumato o tentato.;Arresto di chiunque è colto in flagranza di un delitto di estorsione previsto dal codice penale, non colposo, consumato o tentato.;Arresto di chiunque è colto in flagranza di delitti di illegale fabbricazione, introduzione nello Stato, messa in vendita, cessione, detenzione e porto in luogo pubblico o aperto al pubblico di armi da guerra o tipo guerra o parti di esse, di esplosivi, di armi clandestine nonché di più armi comuni da sparo, non colposi, consumati o tentati.
49;È riconosciuta dal c.p.p. la facoltà di non rispondere in virtù del segreto professionale?;Sì, vengono specificatamente indicati i professionisti c.d. qualificati che non possono essere obbligati a deporre su quanto hanno conosciuto per ragione del proprio ministero, ufficio o professione.;Sì, è specificato che tutti i professionisti, qualificati e non, sono vincolati al segreto professionale e, quindi, non possono essere obbligati a deporre su quanto hanno conosciuto per ragione del proprio ministero, ufficio o professione.;No, tutti gli individui hanno l’obbligo di deporre su invito dell'autorità giudiziaria.;"No, infatti i professionisti sono d'ufficio indicati come testi nei procedimenti penali in quanto ""persone informate dei fatti""."
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
50;Il verbale di sequestro, secondo quanto disposto nel c.p.p., deve essere inviato dalla P.G. al P.M.:;entro quarantotto ore.;entro ventiquattro ore.;entro dodici ore.;entro trentasei ore.
51;La decisione del giudice penale che risolve incidentalmente una questione civile, amministrativa o penale:;non ha efficacia vincolante in nessun altro processo.;ha efficacia vincolante in qualsiasi altro processo penale.;è immediatamente esecutiva.;avvia d'ufficio l'apertura del nuovo procedimento.
52;Contro il decreto di sequestro emesso dal giudice, secondo le previsioni del c.p.p.:;"l’imputato e il suo difensore, la persona alla quale le cose sono state sequestrate e quella che avrebbe diritto alla loro restituzione possono proporre richiesta di riesame, anche nel merito; tuttavia, la richiesta di riesame non sospende l’esecuzione del provvedimento.";l’imputato e il suo difensore, la persona alla quale le cose sono state sequestrate e quella che avrebbe diritto alla loro restituzione possono proporre richiesta di riesame, anche nel merito, e la richiesta di riesame sospende l’esecuzione del provvedimento.;"solo l’imputato per il tramite del suo difensore può proporre richiesta di riesame, anche nel merito; tuttavia, la richiesta di riesame non sospende l’esecuzione del provvedimento.";solo l’imputato per il tramite del suo difensore può proporre richiesta di riesame, anche nel merito, e la richiesta di riesame sospende l’esecuzione del provvedimento.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
53;Quale è la durata massima, ai sensi dell’art. 308 c.p.p., delle misure interdittive?;Non superiore a dodici mesi dall’inizio della loro esecuzione.;Non superiore a tre mesi non rinnovabili dalla pronuncia che le ha disposte.;Non superiore a quattro mesi rinnovabili per altri quattro dall’inizio della loro esecuzione.;per tutto il periodo di durata dell’indagine preliminare.
54;Quali effetti ha sulla misura cautelare disposta l'omesso o ritardato interrogatorio, in conformità alle norme del c.p.p.?;Le misure cautelari coercitive e interdittive perdono immediatamente efficacia se il giudice non procede all'interrogatorio entro il termine di cinque giorni, in caso di custodia in carcere, o di dieci giorni, in caso di altre misure coercitive o interdittive.;Le misure cautelari coercitive e interdittive perdono immediatamente efficacia se il giudice non procede all'interrogatorio entro il termine di dieci giorni, in caso di custodia in carcere, o di cinque giorni, in caso di altre misure coercitive o interdittive.;Nessun effetto, se il giudice provvede a comunicare preventivamente al difensore della persona posta in stato di custodia cautelare le ragioni dell'omesso o ritardato interrogatorio.;Nessun effetto, il termine posto dalla legge è ordinatorio e non perentorio.
55;L'interrogatorio della persona in stato di custodia cautelare da parte del pubblico ministero può precedere l'interrogatorio del giudice, in base alle disposizioni del c.p.p.?;No, mai.;Si, è espressamente previsto;Si, se il difensore della persona posta in stato di custodia cautelare autorizza l'interrogatorio.;No, a meno che il giudice non fornisca apposita autorizzazione previo parere del difensore della persona posta in stato di custodia cautelare.
56;Con riferimento alla figura del testimone nel processo penale, in conformità al c.p.p. quale delle seguenti affermazioni risulta essere errata?;Il testimone non ha l'obbligo, ma bensì la facoltà, di presentarsi al giudice.;Il testimone ha l’obbligo di presentarsi al giudice.;Il testimone ha l'obbligo di attenersi alle prescrizioni date dal giudice per le esigenze processuali.;Il testimone non può essere obbligato a deporre su fatti dai quali potrebbe emergere una sua responsabilità penale.
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4
